# time,counter,data
2026-09-14 13:45:57.453013,446,5016.0,1343654.0
2026-09-14 13:45:57.464033,447,5028.0,1342016.0
2026-09-14 13:45:57.476037,448,5039.0,1341790.0
2026-09-14 13:45:57.487028,449,5050.0,1341274.0
2026-09-14 13:45:57.499041,450,5062.0,1339964.0
2026-09-14 13:45:57.510019,451,5073.0,1342206.0
2026-09-14 13:45:57.521101,452,5085.0,1346440.0
2026-09-14 13:45:57.533102,453,5096.0,1346382.0
2026-09-14 13:45:57.544050,454,5107.0,1343915.0
2026-09-14 13:45:57.556053,455,5119.0,1343165.0
2026-09-14 13:45:57.567079,456,5130.0,1343026.0
2026-09-14 13:45:57.578072,457,5142.0,1343247.0
2026-09-14 13:45:57.590030,458,5153.0,1343780.0
2026-09-14 13:45:57.601076,459,5165.0,1343344.0
2026-09-14 13:45:57.613051,460,5176.0,1345087.0
2026-09-14 13:45:57.624084,461,5187.0,1344030.0
2026-09-14 13:45:57.636068,462,5199.0,1343763.0
2026-09-14 13:45:57.646987,463,5210.0,1341692.0
2026-09-14 13:45:57.658033,464,5222.0,1343318.0
2026-09-14 13:45:57.670039,465,5233.0,1341571.0
2026-09-14 13:45:57.681043,466,5245.0,1341322.0
2026-09-14 13:45:57.692989,467,5256.0,1339767.0
2026-09-14 13:45:57.704015,468,5267.0,1340716.0
2026-09-14 13:45:57.716028,469,5279.0,1342388.0
2026-09-14 13:45:57.726984,470,5290.0,1345020.0
2026-09-14 13:45:57.738078,471,5302.0,1343007.0
2026-09-14 13:45:57.750042,472,5313.0,1343348.0
2026-09-14 13:45:57.761058,473,5325.0,1343034.0
2026-09-14 13:45:57.773038,474,5336.0,1343766.0
2026-09-14 13:45:57.784037,475,5347.0,1345223.0
2026-09-14 13:45:57.795089,476,5359.0,1342959.0
2026-09-14 13:45:57.807046,477,5370.0,1344466.0
2026-09-14 13:45:57.818076,478,5382.0,1344624.0
2026-09-14 13:45:57.830021,479,5393.0,1341317.0
2026-09-14 13:45:57.841068,480,5404.0,1340383.0
2026-09-14 13:45:57.853062,481,5416.0,1341805.0
2026-09-14 13:45:57.864034,482,5427.0,1341639.0
2026-09-14 13:45:57.875131,483,5439.0,1340594.0
2026-09-14 13:45:57.887085,484,5450.0,1341472.0
2026-09-14 13:45:57.898052,485,5462.0,1342804.0
2026-09-14 13:45:57.910065,486,5473.0,1341574.0
