"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.172071042E0,1.440511369E-2,3.858650699E-3,-3.377468705E-2,3.692053590E-2
2.182034042E0,1.825439970E-2,8.799502244E-3,-3.976223588E-2,4.462835142E-2
2.191998042E0,9.811458844E-3,1.179473846E-2,-3.422433794E-2,3.750581138E-2
2.201961042E0,2.353789809E-2,1.215255152E-2,-3.377585649E-2,4.292465069E-2
2.211925042E0,1.327813596E-2,1.199578218E-2,-3.722045124E-2,4.129854325E-2
2.221889042E0,1.510873016E-2,5.644801492E-3,-3.003597736E-2,3.409248373E-2
2.231852042E0,8.176015466E-3,3.268410824E-3,-2.150313556E-2,2.323606200E-2
2.241816042E0,1.066038776E-2,6.379787363E-3,-3.677080035E-2,3.881284984E-2
2.251780042E0,1.542359815E-2,7.676325208E-3,-3.677021563E-2,4.060618310E-2
2.261743042E0,1.980593554E-2,9.758984651E-3,-4.515278399E-2,5.026218027E-2
2.271707042E0,1.356184469E-2,3.050291408E-3,-2.928519487E-2,3.241682507E-2
2.281670042E0,1.879544074E-2,1.766982889E-3,-2.958515704E-2,3.509518967E-2
2.291634042E0,1.791446634E-2,5.033073099E-3,-2.838823199E-2,3.394335936E-2
2.301598042E0,1.274925074E-2,3.242463805E-3,-4.081298053E-2,4.288072231E-2
2.311561042E0,1.408089928E-2,5.293539148E-3,-3.257951617E-2,3.588479003E-2
2.321525042E0,1.043415990E-2,8.801831994E-3,-3.916465044E-2,4.147546001E-2
2.331489042E0,1.402023442E-2,1.274080882E-2,-3.766717851E-2,4.216291640E-2
2.341452042E0,1.570996097E-2,3.381572720E-3,-4.215784013E-2,4.511675290E-2
2.351416042E0,1.769245030E-2,3.685591388E-3,-2.868643999E-2,3.390454573E-2
2.361380042E0,1.596232315E-2,5.215177322E-3,-3.946402788E-2,4.288826566E-2
2.371343042E0,1.427204385E-2,4.181234278E-3,-4.081005692E-2,4.343540839E-2
2.381307042E0,1.065247575E-2,6.200679839E-3,-3.572180986E-2,3.778850844E-2
2.391270042E0,1.125157781E-2,1.178918361E-2,-3.078325152E-2,3.483089760E-2
2.401234042E0,8.919466096E-3,7.644923832E-3,-3.781979084E-2,3.960225139E-2
2.411198042E0,1.376108856E-2,8.742957842E-3,-3.991426349E-2,4.311560390E-2
2.421161042E0,1.471425324E-2,7.260770900E-3,-3.991426349E-2,4.315526007E-2
2.431125042E0,1.355143847E-2,2.192815505E-3,-3.407523394E-2,3.673651443E-2
2.441089042E0,2.051967043E-2,-4.901200114E-3,-3.168021441E-2,3.806198395E-2
2.451052042E0,1.524963435E-2,8.453977481E-4,-3.138142169E-2,3.490071163E-2
2.461016042E0,1.813296034E-2,9.225261770E-3,-4.170994341E-2,4.640720941E-2
2.470979042E0,1.920690657E-2,6.940297801E-3,-3.991309404E-2,4.483445182E-2
2.480943042E0,4.567552507E-3,8.946998259E-3,-3.646966875E-2,3.782787401E-2
2.490907042E0,1.711215070E-2,4.873343613E-3,-3.961196244E-2,4.342444873E-2
2.500870042E0,1.414844376E-2,5.372348651E-3,-3.287480056E-2,3.619106385E-2
2.510834042E0,1.332517864E-2,1.473911304E-2,-3.347355545E-2,3.892660726E-2
2.520798042E0,1.215130898E-2,1.366887158E-2,-3.631764114E-2,4.066280140E-2
2.530761042E0,2.172570891E-2,3.399845269E-3,-3.272394240E-2,3.942615606E-2
2.540725042E0,1.635340594E-2,1.326848349E-2,-3.511779249E-2,4.094808773E-2
2.550688042E0,1.060722378E-2,7.053185608E-3,-2.703460157E-2,2.988528577E-2
2.560655917E0,1.071850817E-2,5.580436438E-3,-3.152584791E-2,3.376250546E-2
2.570619917E0,2.049934222E-2,8.422347698E-3,-4.005868971E-2,4.578053728E-2
2.580582917E0,1.451024023E-2,-2.405617610E-3,-3.916055739E-2,4.183160674E-2
2.590546917E0,1.107352552E-2,5.704379138E-3,-3.736429274E-2,3.938595284E-2
2.600510917E0,1.253294944E-2,5.428089062E-3,-3.407055616E-2,3.670615439E-2
2.610473917E0,1.398131389E-2,-7.445972320E-3,-3.451903760E-2,3.798004211E-2
2.620437917E0,1.730497177E-2,-1.936890185E-5,-3.691639602E-2,4.077110151E-2
2.630400917E0,1.674187120E-2,4.356815200E-3,-3.077915847E-2,3.530762929E-2
2.640364917E0,8.710615430E-3,4.563112278E-3,-3.077974319E-2,3.231237234E-2
2.650328917E0,1.332249714E-2,7.175502051E-3,-2.179900467E-2,2.653626508E-2
2.660291917E0,1.779665865E-2,3.583612293E-4,-2.584235430E-2,3.137955955E-2
2.670255917E0,1.531801023E-2,4.863604344E-3,-4.170994341E-2,4.469916626E-2
2.680219917E0,1.756790918E-2,1.180170944E-2,-4.964344561E-2,5.396650323E-2
2.690182917E0,1.014829044E-2,5.021488303E-3,-3.497453570E-2,3.676168238E-2
2.700146917E0,1.153911007E-2,1.010948868E-2,-3.557270586E-2,3.873977575E-2
2.710110917E0,1.070611938E-2,9.404287068E-3,-4.515278399E-2,4.734802540E-2
2.720073917E0,1.685859167E-2,6.848770604E-3,-2.988278031E-2,3.498711665E-2
2.730037917E0,1.574284242E-2,4.625604395E-3,-3.422433794E-2,3.795442808E-2
2.740000917E0,1.012766073E-2,5.705868350E-3,-3.946344316E-2,4.113988079E-2
2.749964917E0,1.010322120E-2,1.234911846E-2,-3.572064042E-2,3.912211596E-2
2.759928917E0,1.634736230E-2,-9.623968787E-4,-3.796480179E-2,4.134596276E-2
2.769891917E0,1.478685007E-2,4.084033454E-3,-4.035923660E-2,4.317636209E-2
2.779855917E0,7.076428290E-3,2.597360602E-3,-4.065685987E-2,4.134975664E-2
2.789819917E0,9.105978571E-3,8.345447676E-3,-3.511837721E-2,3.722721801E-2
2.799782917E0,1.549597115E-2,-2.441806393E-3,-3.436759472E-2,3.777855353E-2
2.809746917E0,7.163816756E-3,4.776499104E-3,-2.748191357E-2,2.879914560E-2
2.819709917E0,4.347180999E-3,1.424891537E-2,-3.331918895E-2,3.649791671E-2
2.829673917E0,9.191658553E-3,7.061015395E-3,-4.155148387E-2,4.313780636E-2
2.839637917E0,2.267979635E-2,6.807154873E-3,-4.184969187E-2,4.808437615E-2
2.849600917E0,2.107825769E-2,4.860589374E-3,-3.152000070E-2,3.822863743E-2
2.859564917E0,1.545473915E-2,1.065424819E-2,-2.747782052E-2,3.327750872E-2
2.869528917E0,1.704109789E-2,7.149682939E-4,-3.720934153E-2,4.093220363E-2
2.879491917E0,3.247013669E-3,1.806917544E-3,-3.047510326E-2,3.070081379E-2
2.889455917E0,9.865522748E-3,1.107664556E-2,-2.882911205E-2,3.242126336E-2
2.899418917E0,1.410413283E-2,8.423571959E-3,-3.212226391E-2,3.607939808E-2
2.909382917E0,1.380382806E-2,2.425644323E-3,-2.628440380E-2,2.978756960E-2
2.919346917E0,1.828778365E-2,2.708311519E-3,-3.077389598E-2,3.590000913E-2
2.929309917E0,1.946189085E-2,8.813937558E-3,-3.840685129E-2,4.394925388E-2
2.939273917E0,1.559626461E-2,6.444965545E-3,-3.870622873E-2,4.222503041E-2
2.949237917E0,1.499450389E-2,8.349294048E-3,-3.466404855E-2,3.867999638E-2
2.959200917E0,1.414510902E-2,6.014774926E-3,-3.122237742E-2,3.480084020E-2
2.969164917E0,1.159712541E-2,5.913901320E-3,-3.077506542E-2,3.341514924E-2
2.979127917E0,1.793933071E-2,8.597508352E-3,-3.511428416E-2,4.035777110E-2
2.989091917E0,1.871361170E-2,7.864824822E-3,-4.125152171E-2,4.597545840E-2
